,aqi,pm10,co,o3,so2,no2,pm25,city_name,lon,lat,state_code
72,18,19.0,329.196,30.0,0.0,0.658678,4.0,Wilmington,-77.95,34.23,NC
73,33,22.0,370.92,27.0,0.309665,0.682106,8.0,Goldsboro,-77.99,35.39,NC
74,29,1.39009,368.416,62.0,1.29081,0.289845,1.04257,Winchester,-78.17,39.18,VA
75,23,1.96657,390.53,50.0,2.18675,1.67615,1.47493,Altoona,-78.39,40.52,PA
76,19,4.77387,358.403,42.0,0.614673,0.188767,3.5804,Charlottesville,-78.48,38.03,VA
77,54,23.0,188.925,32.0,0.0,3.75,14.0,Oberlin,-78.64,35.82,NC
78,24,1.71708,148.85,52.0,0.0,2.5,1.28781,Cumberland,-78.76,39.65,MD
79,24,2.2827,365.496,51.0,0.0,2.5,1.71203,Harrisonburg,-78.87,38.45,VA
80,40,9.68111,339.21,86.0,2.33948,3.73251,6.5,Buffalo,-78.88,42.88,NY
81,37,16.0,356.317,20.0,0.516884,0.784523,9.0,Fayetteville,-78.88,35.06,NC
82,40,16.0962,342.548,32.0,0.355765,0.783184,9.52078,Myrtle Beach,-78.89,33.69,SC
83,54,23.0,188.925,35.0,0.0,3.75,14.0,Durham,-78.92,36,NC
84,23,2.02701,372.171,49.0,3.62098,1.23837,1.52026,Johnstown,-78.92,40.33,PA
85,37,16.0,343.382,24.0,1.02073,0.799249,9.0,Lumberton,-79.01,34.63,NC
86,41,7.16651,314.176,88.0,1.88872,2.41515,6.5,Niagara Falls,-79.04,43.09,NY
87,14,2.67913,345.886,30.0,0.599772,0.225584,1.93242,Lynchburg,-79.14,37.41,VA
88,29,4.13428,361.741,62.0,0.675209,0.838074,2.73861,Jamestown,-79.24,42.1,NY
89,19,1.18015,357.568,41.3333,0.545755,0.343396,0.753543,Danville,-79.4,36.59,VA
90,55,19.33,341.296,24.0,1.15484,0.532164,14.4975,Florence,-79.76,34.2,SC
91,33,13.0,357.986,43.6,0.0,1.25,8.0,Greensboro,-79.8,36.07,NC
92,21,3.09018,343.5,46.0,0.0,3.75,2.31763,Roanoke,-79.94,37.27,VA
93,21,3.9768,378.013,44.5,2.99513,0.376866,2.9826,Morgantown,-79.96,39.63,WV
94,74,42.0,353.813,33.0,0.0,1.25,23.3,Avondale,-79.99,32.79,SC
95,32,4.5299,398.457,68.25,3.14415,1.70292,3.39742,Mount Washington,-80,40.43,PA
96,27,7.85007,361.741,58.0,0.0,1.08039,4.5,Erie,-80.08,42.13,PA
97,12,3.70129,325.024,26.0,2.41399,5.23194,2.77597,Gramercy Park,-80.12,26.75,FL
98,46,20.0,389.3,27.0,0.0,7.5,11.1,Miami Beach,-80.13,25.81,FL
99,46,20.0,389.3,26.4,0.0,7.5,11.1,Lazy Lake,-80.14,26.14,FL
100,46,20.0,389.3,27.0,0.0,7.5,11.1,Paradise Trailer Park,-80.22,25.79,FL
101,33,13.0,362.575,43.6,0.0,1.25,8.0,West Highlands,-80.26,36.11,NC
102,46,20.0,389.3,26.4,0.0,7.5,11.1,Coral Springs,-80.27,26.27,FL
103,40,20.0,389.3,26.0,0.0,7.5,9.5,South Miami,-80.29,25.72,FL
104,14,3.59954,335.455,30.0,0.516884,0.0871878,2.83978,White Sulphur Springs,-80.3,37.79,WV
105,34,4.5299,398.457,74.1818,3.33333,1.70292,3.39742,Beaver Falls,-80.32,40.75,PA
106,37,11.8295,324.607,28.6667,1.9148,4.36977,8.87215,Fort Pierce,-80.33,27.45,FL
107,34,4.56712,363.827,73.8502,2.88337,0.431755,3.97635,Clarksburg,-80.34,39.28,WV
108,25,8.79996,341.296,8.0,1.15298,0.451168,5.93284,Sumter,-80.34,33.92,SC
109,63,27.0,325.024,22.5,1.99303,4.92134,18.2,Vero Beach,-80.39,27.64,FL
110,21,1.03768,343.5,46.0,0.0,3.75,0.778263,Blacksburg,-80.41,37.23,VA
111,33,13.0,160.3,33.6667,0.625,1.66667,8.0,Salisbury,-80.47,35.67,NC
112,15,2.54013,302.076,32.6782,1.34669,2.20363,0.955639,Homestead,-80.48,25.47,FL
113,48,27.0,316.679,30.6667,0.864267,2.20363,11.5,Melbourne,-80.61,28.08,FL
114,35,7.38386,409.305,76.25,0.625,2.27592,5.5379,Youngstown,-80.65,41.1,OH
115,23,7.05145,347.972,28.0,0.0,0.543543,5.63891,Salem Plantation,-80.69,32.43,SC
116,31,4.60428,390.947,67.0,4.375,3.75,3.45321,Wheeling,-80.72,40.06,WV
117,49,19.2622,324.607,24.0,0.745058,2.0992,11.7,Titusville,-80.81,28.61,FL
118,37,12.0,160.3,25.6667,0.0,1.25,9.0,Charlotte,-80.83,35.2,NC
119,26,28.0,347.137,8.0,0.875443,0.388245,5.95625,Orangeburg,-80.86,33.5,SC
120,79,28.0,114.5,18.0,0.0,1.25,25.6,Woodfield,-80.9,34.04,SC
121,34,10.8673,335.872,14.0,1.65962,3.15416,8.15045,Daytona Beach,-81.02,29.21,FL
122,37,12.0,160.3,26.4,0.0,1.25,9.0,Boyd Hill,-81.03,34.94,SC
123,59,41.0,336.707,28.0,0.625,0.384229,16.2,Groveland,-81.11,32.02,GA
124,16,2.85737,329.196,34.4664,0.789762,0.142914,2.17091,Beckley,-81.18,37.78,WV
125,52,29.0,319.6,19.0,1.06357,1.60653,12.9,Palm Coast,-81.22,29.54,FL
126,33,10.593,329.196,20.6667,1.44541,1.76451,7.94478,Country Club Manor,-81.28,28.79,FL
127,60,36.0,572.5,13.0,1.15298,5.0,16.6,St. Augustine,-81.31,29.89,FL
128,12,1.16675,391.364,25.3333,1.18837,1.36287,0.875059,Hickory,-81.34,35.73,NC
129,32,5.74411,403.464,68.4,0.0,2.13669,4.30808,Canton,-81.38,40.8,OH
130,35,11.339,322.521,20.0,0.881962,1.45927,8.50427,South Orange Mobile Home Park,-81.38,28.51,FL
131,35,11.339,322.521,20.0,0.881962,1.45927,8.50427,Kissimmee,-81.41,28.29,FL
132,14,4.47652,325.441,24.0,1.25,1.23167,3.41884,Brunswick,-81.49,31.15,GA
133,59,21.0,137.4,70.5455,1.66667,1.25,16.2,Downtown,-81.52,41.07,OH
134,24,8.14563,379.682,35.0,1.25,0.583037,5.7929,Parkersburg,-81.56,39.27,WV
135,17,4.32746,357.568,36.0,2.31341,0.561617,3.2456,Charleston,-81.63,38.35,WV
136,52,36.0,308.335,16.0,0.64075,1.53692,13.0,Palatka,-81.65,29.65,FL
137,60,36.0,572.5,18.6667,1.25,3.75,16.6,Brooklyn,-81.67,30.33,FL
138,57,21.0,137.4,70.5455,1.875,1.25,15.1,Ohio City,-81.69,41.47,OH
139,53,18.0,349.641,27.0,0.254717,0.172367,13.5,Aiken,-81.72,33.55,SC
140,40,13.6497,315.011,18.5,1.25,1.82877,9.6,Winter Haven,-81.73,28.02,FL
141,25,4.28041,314.176,54.4488,0.815839,1.01211,2.45419,Key West,-81.78,24.56,FL
142,11,1.38543,291.228,23.0,0.33807,0.586384,1.03907,Naples,-81.79,26.14,FL
143,15,4.84537,299.99,23.0,0.473112,1.02149,3.63402,Palm and Pines Mobile Home Park,-81.86,26.64,FL
144,32,10.3408,322.104,18.5,1.05985,1.92784,7.75563,Leesburg,-81.88,28.81,FL
145,13,6.0,367.999,21.0,0.0,2.5,3.2,Spartanburg,-81.93,34.95,SC
146,15,4.84537,299.99,23.0,0.473112,1.02149,3.63402,Cape Coral,-81.98,26.6,FL
147,53,18.0,349.641,27.0,0.254717,0.172367,13.5,Augusta,-81.98,33.46,GA
148,33,9.83632,386.775,36.0,1.25,0.866188,8.05123,Zanesville,-82.01,39.94,OH
149,43,23.0,301.242,27.3333,0.215368,0.581029,10.3,Port Charlotte,-82.11,27,FL
150,36,11.4103,304.997,18.0,1.27777,1.31066,8.5577,Ocala,-82.14,29.19,FL
151,22,0.904959,330.031,46.6667,2.1875,0.171698,0.678719,Spring Garden,-82.18,36.61,VA
152,14,4.44428,315.428,18.0,0.466593,0.709551,3.33321,Gainesville,-82.33,29.65,FL
153,20,0.904959,330.031,43.0,2.1875,0.171698,0.678719,Johnson City,-82.35,36.31,TN
154,15,3.51845,360.072,31.4265,0.0690343,0.00917271,3.20003,Waycross,-82.35,31.21,GA
155,13,6.0,349.224,23.3333,0.0,2.5,3.2,Greenville,-82.39,34.85,SC
156,16,4.23922,353.813,34.8,0.0,0.50338,3.17941,Huntington,-82.45,38.42,WV
157,61,30.0,200.375,25.1111,0.25,4.375,17.1,Tampa,-82.46,27.95,FL
158,23,5.67587,415.564,50.0,1.07102,1.89303,4.51309,Mansfield,-82.52,40.76,OH
159,54,23.0,229.0,24.5,0.0,7.5,13.9,Sarasota,-82.53,27.34,FL
160,61,31.4959,171.75,27.3333,0.0,1.25,17.1,Willow Sink,-82.55,28.48,FL
161,16,0.0167417,363.827,34.5,1.25,0.832719,0.0125563,Asheville,-82.55,35.6,NC
162,22,1.35158,334.62,48.0,2.1875,0.131033,1.01368,Kingsport,-82.56,36.55,TN
163,25,8.1337,388.861,38.0,2.81259,0.874221,6.10028,Lancaster,-82.61,39.72,OH
164,20,6.26544,355.899,31.0,0.0993023,0.118984,4.69908,Lake City,-82.64,30.19,FL
165,12,6.0,338.793,26.0,0.0,2.5,1.9,Anderson,-82.65,34.5,SC
166,61,30.0,200.375,27.5556,0.0,4.375,17.1,St. Petersburg,-82.68,27.77,FL
167,14,1.12041,341.713,29.549,0.120141,0.0794898,1.02122,Douglas,-82.85,31.51,GA
168,15,0.0638395,382.185,32.5888,0.150874,0.239306,0.0535351,Dublin,-82.92,32.54,GA
169,32,10.3094,343.5,42.2857,2.46242,6.25,7.73205,Milo,-82.99,39.98,OH
170,71,26.0,629.75,51.7143,0.25,14.5833,21.6,Detroit,-83.08,42.33,MI
171,60,41.0,352.144,22.4411,0.157859,0.110951,16.4,Valdosta,-83.28,30.83,GA
172,71,26.0,629.75,56.0,0.25,14.5833,21.6,Pontiac,-83.29,42.65,MI
173,14,8.0,341.296,30.0,0.30268,0.626547,2.5,Athens,-83.38,33.96,GA
174,30,1.71141,301.659,64.0154,0.0597211,0.201151,0.194143,Alpena,-83.43,45.06,MI
175,33,10.6913,374.258,71.6,1.35787,3.64147,8.01846,Auburndale,-83.58,41.67,OH
176,17,8.0,323.772,36.0,0.49267,0.643951,3.0,Macon,-83.63,32.85,GA
177,34,10.6913,374.258,73.0,1.35787,3.64147,8.01846,Bowling Green,-83.65,41.37,OH
178,38,4.82509,299.99,82.0,1.27777,1.46194,3.61882,Flint,-83.69,43.01,MI
179,55,19.0,572.5,55.5,0.0,10.0,14.25,Ann Arbor,-83.72,42.3,MI
180,34,11.042,394.702,46.5714,1.90549,1.64937,8.28152,Springfield,-83.8,39.92,OH
